"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 16:08:27 IST 2022","Mon Dec 05 16:08:33 IST 2022","6573","","TC 6 : Verifying Contact Us Page","","TC 6 : Verifying Contact Us Page","2 Click on Contact Us button","2 Click on Contact Us button",""
"passed","Mon Dec 05 22:46:56 IST 2022","Mon Dec 05 22:46:59 IST 2022","2992","","TC 7 : Verifying 'Test Cases' Page","","TC 7 : Verifying 'Test Cases' Page","2 Click on TestCases button","2 Click on TestCases button",""
"passed","Thu Dec 08 17:14:52 IST 2022","Thu Dec 08 17:15:08 IST 2022","15871","","TC 5 : Register existing  User","","TC 5 : Register existing  User","1 Register existing User","1 Register existing User",""
"passed","Thu Dec 08 17:15:08 IST 2022","Thu Dec 08 17:15:29 IST 2022","20194","","TC 5 : Register existing  User","","TC 5 : Register existing  User","2 Delete Account","2 Delete Account",""
"passed","Mon Dec 05 17:45:43 IST 2022","Mon Dec 05 17:45:54 IST 2022","10999","","TC 2 : Login User","","TC 2 : Login User","1 Navigate to URL","1 Navigate to URL",""
"passed","Mon Dec 05 16:08:34 IST 2022","Mon Dec 05 16:08:35 IST 2022","716","","TC 6 : Verifying Contact Us Page","","TC 6 : Verifying Contact Us Page","4 Upload file","4 Upload file",""
"passed","Thu Dec 08 16:45:45 IST 2022","Thu Dec 08 16:45:45 IST 2022","0","","TC 2 : Login User","","TC 2 : Login User","2 Delete Sccount","2 Delete Sccount",""
"passed","Thu Dec 08 17:20:07 IST 2022","Thu Dec 08 17:20:50 IST 2022","42698","","TC 15 : Register and Place Order","","TC 15 : Register and Place Order","1 Place Order: Register before Checkout","1 Place Order: Register before Checkout",""
"passed","Thu Dec 08 17:12:20 IST 2022","Thu Dec 08 17:12:48 IST 2022","27419","","TC 17 : Remove products from cart","","TC 17 : Remove products from cart","1 Remove Products From Cart","1 Remove Products From Cart",""
"passed","Thu Dec 08 17:13:39 IST 2022","Thu Dec 08 17:14:54 IST 2022","74784","","TC 25: Verify scroll up","","TC 25: Verify scroll up","1  Verify Scroll Up using 'Arrow' button and Scroll Down functionality","1  Verify Scroll Up using 'Arrow' button and Scroll Down functionality",""
"passed","Thu Dec 08 17:15:08 IST 2022","Thu Dec 08 17:15:22 IST 2022","13806","","TC 6 : Contact Us Page","","TC 6 : Contact Us Page","1 Verifying Contact Us Page","1 Verifying Contact Us Page",""
"passed","Mon Dec 05 16:00:38 IST 2022","Mon Dec 05 16:00:38 IST 2022","29","","TC 21 : Add Review","","TC 21 : Add Review","4 Verify success message 'Thank you for your review.'","4 Verify success message 'Thank you for your review.'",""
"failed","Thu Dec 08 17:21:55 IST 2022","Thu Dec 08 17:22:41 IST 2022","45928","","TC 16 : Place Order","","TC 16 : Place Order","1 Place Order: Login before Checkout","1 Place Order: Login before Checkout",""
"passed","Wed Dec 14 14:43:58 IST 2022","Wed Dec 14 14:44:44 IST 2022","45717","","Test Cases","","Test Cases","TC 7 : Verifying 'Test Cases' Page","TC 7 : Verifying 'Test Cases' Page",""
"passed","Mon Dec 05 18:03:13 IST 2022","Mon Dec 05 18:03:16 IST 2022","2628","","TC 1 : Register User","","TC 1 : Register User","2 Enter name and username","2 Enter name and username",""
"passed","Thu Dec 08 17:14:35 IST 2022","Thu Dec 08 17:15:06 IST 2022","30715","","TC 4 : Logout User","","TC 4 : Logout User","Logout User","Logout User",""
